lead_id,store_name,lead_channel_label,google_maps_category,instagram_handle,followers,items_listed,sell_through_rate,website,email,phone,owner_name,address,city,neighbourhood,country,lat,lng,est_monthly_spend_gbp,lead_source,last_contact_date,last_purchase_date,stage_raw,stage_clean,pipeline_status,notes,source_lead_ids,n_records_merged,store_type,store_type_confidence,_confirmed_non_uk,_unverified_location,store_category,qualifies,qualification_reason,contactability_score,data_quality_flag,ELIGIBLE,OUTREACH_TYPE,RECOMMENDED_FOLLOW_UP_DATE,SUGGESTED_MESSAGE,MESSAGE_LOGIC,PERSONALISATION_ANGLE
L1160,theco92,depop,unknown,@theco92,9601.0,709.0,0.35,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,1990,Whatnot,2026-05-03,never,trial pending,Trial Pending,Opportunity,"IG shop, DMs open",L1160,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Whatnot) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given running your shop straight through Instagram DMs. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Trial Pending (Re-Engagement). Personalisation drawn from notes: running your shop straight through Instagram DMs. Last contacted 74 day(s) ago - timing supports a follow-up now.,running your shop straight through Instagram DMs
L1169,deadroom16,reseller,unknown,@deadroom16,32356.0,1010.0,0.35,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,1530,Depop scrape,2026-05-10,never,in convo,In Conversation,Engaged,"Whatnot seller, live sales",L1169,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,False,No Action,,,"Stage 'In Conversation' is on the do-not-message list - no message drafted, no assumptions made about prior conversation content.",
L1091,Wilder Supply,store,Thrift store,@wildersupply,14331.0,,,https://wildersupply.com,info@wildersupply.com,+447745171339,unknown,177 The Parade,Bristol,"Stokes Croft, Bristol",UK,51.47367,-2.58735,1306,BDR,2026-06-18,never,In conversation,In Conversation,Engaged,"Curated vintage womenswear, Levi's & band tees | Instagram DMs open, email bounced.",L1091,1,Physical Store,High,False,False,Second-Hand Store,True,Category 'Thrift store' is a specific vintage/resale-clothing category - qualifies.,5,None,False,No Action,,,"Stage 'In Conversation' is on the do-not-message list - no message drafted, no assumptions made about prior conversation content.",
L1108,Velvet Corner,shop,Thrift store,@velvetcorner,1643.0,,,https://velvetcorner.shop,unknown,unknown,unknown,57 High St,Paris,"Le Marais, Paris",France,48.85963,2.34802,3721,BDR,2026-06-20,never,negotiating,Negotiating,Opportunity,Reworked vintage and archive designer pieces,"L1108, L1206",2,Physical Store,High,True,False,Second-Hand Store,True,Category 'Thrift store' is a specific vintage/resale-clothing category - qualifies.,3,Missing Contact; Non-UK,True,Re-Engagement,,"English: Hi there, it's been a little while, so wanted to check back in given your reworked and archive designer pieces. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?

Translated (French): Bonjour, cela fait un moment, je voulais donc reprendre contact étant donné vos pièces retravaillées et vos pièces d'archives de créateurs. Aucune pression si le moment n'est plus idéal, mais si l'approvisionnement reste d'actualité, je serais ravi d'en reparler. Cela vaudrait-il la peine d'en discuter rapidement ?",Stage identified as Negotiating (Re-Engagement). Personalisation drawn from notes: your reworked and archive designer pieces. Last contacted 26 day(s) ago - timing supports a follow-up now.,your reworked and archive designer pieces
L1060,Bygone Racks,physical,Thrift store,@bygoneracks,10146.0,,,unknown,info@bygoneracks.com,unknown,unknown,41 Kingsland Rd,London,"Soho, London",UK,51.51177,-0.13485,2389,Inbound,2026-05-04,never,responded,Replied,Engaged,"80s/90s denim & sportswear specialist | Tried us in 2023, wasn't happy with the sizing mix.",L1060,1,Physical Store,High,False,False,Second-Hand Store,True,Category 'Thrift store' is a specific vintage/resale-clothing category - qualifies.,3,Missing Website,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your 80s/90s denim and sportswear edit. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. The sizing-mix issue from 2023 was a fair complaint, and the way we curate mixes has changed since - genuinely curious whether it's worth a second look. Worth a quick chat to see where things stand?","Stage identified as Replied (Re-Engagement). Personalisation drawn from notes: your 80s/90s denim and sportswear edit. Notes flagged a specific objection/context, addressed directly rather than ignored. Last contacted 73 day(s) ago - timing supports a follow-up now.",your 80s/90s denim and sportswear edit
L1183,therail67,unknown,unknown,@therail67,34604.0,504.0,0.44,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,1518,Depop scrape,never,never,New,New Lead,Prospect,"Whatnot seller, live sales",L1183,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Cold,,"Hi there, I came across your shop and noticed your live-sale format on Whatnot. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?",Stage identified as New Lead (Cold). Personalisation drawn from notes: your live-sale format on Whatnot. No prior contact on record - treated as first outreach.,your live-sale format on Whatnot
L1163,stockvault47,depop,unknown,@stockvault47,9574.0,981.0,0.37,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,497,Vinted scrape,2026-04-28,never,emailed,Contacted,Contacted,unknown,L1163,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Vinted scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given selling through Vinted. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Contacted (Re-Engagement). Personalisation drawn from channel (notes unavailable): selling through Vinted. Last contacted 79 day(s) ago - timing supports a follow-up now.,selling through Vinted
L1104,Heirloom Archive,physical,Vintage clothing store,@heirloomarchive,12056.0,,,https://heirloomarchive.shop,info@heirloomarchiv.com,unknown,Grace Marsh,45 High St,Paris,"Le Marais, Paris",France,48.86985,2.36851,2767,Referral,2026-05-12,2026-05-19,won,Closed Won,Customer,Reworked vintage and archive designer pieces,L1104,1,Physical Store,High,True,False,Vintage Store,True,Category 'Vintage clothing store' is a specific vintage/resale-clothing category - qualifies.,4,Non-UK,True,Customer Check-In,,"Hi Grace, wanted to check in properly rather than send a generic update, given the reworked, archive-designer side of what you stock. Keen to hear how things have been going and whether there's anything new worth exploring together. Any gaps in what you're sourcing at the moment, or new ranges you're thinking about?",Stage identified as Closed Won (Customer Check-In). Personalisation drawn from notes: your reworked and archive designer pieces. Last contacted 65 day(s) ago - timing supports a follow-up now.,your reworked and archive designer pieces
L1127,Marlowe Vintage,unknown,Consignment store,@marlowevintage,4018.0,,,https://marlowevintage.com,info@marlowevintage.com,+33618114374,Yusuf Novak,13 Market St,Los Angeles,"Melrose, Los Angeles",USA,34.09132,-118.35202,3472,Inbound,2026-03-17,never,replied,Replied,Engaged,Hand-picked vintage from the 60s to the 90s,L1127,1,Physical Store,High,True,False,Consignment Store,True,Category 'Consignment store' is a specific vintage/resale-clothing category - qualifies.,5,Non-UK,True,Re-Engagement,,"Hi Yusuf, it's been a little while, so wanted to check back in given your hand-picked edit spanning the 60s through the 90s. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Replied (Re-Engagement). Personalisation drawn from notes: your hand-picked edit spanning the 60s through the 90s. Last contacted 121 day(s) ago - timing supports a follow-up now.,your hand-picked edit spanning the 60s through the 90s
L1086,Golden Era Loft,unknown,Consignment store,@goldeneraloft,13533.0,,,unknown,info@goldeneraloft.com,+447868058911,Noor Diallo,169 The Parade,Bristol,"Stokes Croft, Bristol",UK,51.45699,-2.5873,2314,Instagram,never,never,new lead,New Lead,Prospect,"Vintage workwear, military surplus, carhartt",L1086,1,Physical Store,High,False,False,Consignment Store,True,Category 'Consignment store' is a specific vintage/resale-clothing category - qualifies.,4,Missing Website,True,Cold,,"Hi Noor, I came across your shop and noticed your workwear and military surplus range, including Carhartt. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?","Stage identified as New Lead (Cold). Personalisation drawn from notes: your workwear and military surplus range, including Carhartt. No prior contact on record - treated as first outreach.","your workwear and military surplus range, including Carhartt"
L1138,retrosupply58,unknown,unknown,@retrosupply58,20389.0,1151.0,0.6,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,764,Whatnot,2026-05-22,2026-06-19,closed - won,Closed Won,Customer,"Whatnot seller, live sales",L1138,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Whatnot) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Customer Check-In,,"Hi there, wanted to check in properly rather than send a generic update, given the live-sale format you run on Whatnot. Keen to hear how things have been going and whether there's anything new worth exploring together. Any gaps in what you're sourcing at the moment, or new ranges you're thinking about?",Stage identified as Closed Won (Customer Check-In). Personalisation drawn from notes: your live-sale format on Whatnot. Last contacted 55 day(s) ago - timing supports a follow-up now.,your live-sale format on Whatnot
L1094,Wilder Goods,unknown,Used clothing store,unknown,,,,https://wildergoods.com,info@wildergoods.com,unknown,Ellie Rossi,167 Mill Lane,Leeds,Leeds,UK,53.79152,-1.53881,1242,Inbound,2026-05-08,never,sent pricing,Quote Sent,Opportunity,80s/90s denim & sportswear specialist |,"L1094, L1202",2,Physical Store,High,False,False,Second-Hand Store,True,Category 'Used clothing store' is a specific vintage/resale-clothing category - qualifies.,3,Missing Instagram,True,Re-Engagement,,"Hi Ellie, it's been a little while, so wanted to check back in given your 80s/90s denim and sportswear edit. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Quote Sent (Re-Engagement). Personalisation drawn from notes: your 80s/90s denim and sportswear edit. Last contacted 69 day(s) ago - timing supports a follow-up now.,your 80s/90s denim and sportswear edit
L1142,retroarchive14,unknown,unknown,@retroarchive14,26286.0,516.0,0.37,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,806,Instagram,2026-05-26,never,responded,Replied,Engaged,"Fast seller, good margins",L1142,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Instagram) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given how quickly your stock turns over. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Replied (Re-Engagement). Personalisation drawn from notes: how quickly your stock turns over. Last contacted 51 day(s) ago - timing supports a follow-up now.,how quickly your stock turns over
L1199,Ragged Goods,store,Used clothing store,@raggedgoods,11003.0,,,https://raggedgoods.co.uk,info@raggedgoods.com,+447374549904,unknown,168 The Parade,Brighton,"North Laine, Brighton",UK,50.83063,-0.15051,3932,BDR,2026-06-29,never,Replied,Replied,Engaged,"Vintage workwear, military surplus, carhartt | Busy on weekends — visit midweek.","L1199, L1069",2,Physical Store,High,False,False,Second-Hand Store,True,Category 'Used clothing store' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your workwear and military surplus range, including Carhartt. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Happy to work around your weekend trade - midweek suits us fine. Worth a quick chat to see where things stand?","Stage identified as Replied (Re-Engagement). Personalisation drawn from notes: your workwear and military surplus range, including Carhartt. Notes flagged a specific objection/context, addressed directly rather than ignored. Last contacted 17 day(s) ago - timing supports a follow-up now.","your workwear and military surplus range, including Carhartt"
L1012,Heirloom Depot,unknown,Retro clothing shop,@heirloomdepot,21276.0,,,https://heirloomdepot.shop,info@heirloomdepot.com,+447680112805,Dan Baker,38 Broadway,London,"Shoreditch, London",UK,51.51506,-0.0766,4377,Google Maps scrape,2026-05-29,never,Closed Lost,Closed Lost,Lost,"Y2K, grunge and reworked one-off pieces",L1012,1,Physical Store,High,False,False,Vintage Store,True,Category 'Retro clothing shop' is a specific vintage/resale-clothing category - qualifies.,5,None,False,No Action,,,"Stage 'Closed Lost' is on the do-not-message list - no message drafted, no assumptions made about prior conversation content.",
L1113,Heirloom Vault,physical,Consignment store,@heirloomvault,20067.0,,,https://heirloomvault.com,info@heirloomvault.com,+33632417146,Ines Meyer,170 Mill Lane,Berlin,"Kreuzberg, Berlin",Germany,52.48919,13.40406,2637,Inbound,2026-05-01,never,in convo,In Conversation,Engaged,"Y2K, grunge and reworked one-off pieces | Price-sensitive, compares to local wholesalers.",L1113,1,Physical Store,High,True,False,Consignment Store,True,Category 'Consignment store' is a specific vintage/resale-clothing category - qualifies.,5,Non-UK,False,No Action,,,"Stage 'In Conversation' is on the do-not-message list - no message drafted, no assumptions made about prior conversation content.",
L1179,reworkedera62,unknown,unknown,@reworkedera62,49020.0,312.0,0.59,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,1697,Instagram,never,never,NEW,New Lead,Prospect,"Whatnot seller, live sales",L1179,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Instagram) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Cold,,"Hi there, I came across your shop and noticed your live-sale format on Whatnot. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?",Stage identified as New Lead (Cold). Personalisation drawn from notes: your live-sale format on Whatnot. No prior contact on record - treated as first outreach.,your live-sale format on Whatnot
L1004,Heirloom Store,shop,Vintage boutique,@heirloomstore,28616.0,,,https://heirloomstore.shop,info@heirloomstore.com,unknown,Chloe Dubois,17 Broadway,London,"Shoreditch, London",UK,51.52116,-0.06009,8087,Referral,2026-06-17,2026-05-26,WON,Closed Won,Customer,"Y2K, grunge and reworked one-off pieces",L1004,1,Physical Store,High,False,False,Vintage Store,True,Category 'Vintage boutique' is a specific vintage/resale-clothing category - qualifies.,4,None,True,Customer Check-In,,"Hi Chloe, wanted to check in properly rather than send a generic update, given the Y2K and grunge one-offs you carry. Keen to hear how things have been going and whether there's anything new worth exploring together. Any gaps in what you're sourcing at the moment, or new ranges you're thinking about?","Stage identified as Closed Won (Customer Check-In). Personalisation drawn from notes: your Y2K, grunge and reworked one-off pieces. Last contacted 29 day(s) ago - timing supports a follow-up now.","your Y2K, grunge and reworked one-off pieces"
L1010,Second Racks,unknown,Vintage clothing store,@secondracks,13369.0,,,unknown,info@secondracks.com,unknown,Ben Bennett,3 Kingsland Rd,London,"Shoreditch, London",UK,51.52691,-0.07049,5875,BDR,2026-06-15,never,demo booked,Demo Booked,Opportunity,"Hand-picked vintage from the 60s to the 90s | Met at a market, said to drop by the shop.",L1010,1,Physical Store,High,False,False,Vintage Store,True,Category 'Vintage clothing store' is a specific vintage/resale-clothing category - qualifies.,3,Missing Website,True,Re-Engagement,,"Hi Ben, it's been a little while, so wanted to check back in given your hand-picked edit spanning the 60s through the 90s. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Good to put a name to the shop after meeting at the market - still keen to swing by. Worth a quick chat to see where things stand?","Stage identified as Demo Booked (Re-Engagement). Personalisation drawn from notes: your hand-picked edit spanning the 60s through the 90s. Notes flagged a specific objection/context, addressed directly rather than ignored. Last contacted 31 day(s) ago - timing supports a follow-up now.",your hand-picked edit spanning the 60s through the 90s
L1090,Revival Supply,unknown,Vintage boutique,@revivalsupply,4873.0,,,https://revivalsupply.shop,info@revivalsupply.com,+447767677219,James Diallo,75 High St,Bristol,"Stokes Croft, Bristol",UK,51.4596,-2.5891,2472,Referral,2026-06-07,never,contacted,Contacted,Contacted,"Retro football shirts & vintage sportswear | Left a voicemail, no callback yet.",L1090,1,Physical Store,High,False,False,Vintage Store,True,Category 'Vintage boutique' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Re-Engagement,,"Hi James, it's been a little while, so wanted to check back in given your retro football shirt and vintage sportswear range. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. No worries on the missed callback - happy to try again whenever suits. Worth a quick chat to see where things stand?","Stage identified as Contacted (Re-Engagement). Personalisation drawn from notes: your retro football shirt and vintage sportswear range. Notes flagged a specific objection/context, addressed directly rather than ignored. Last contacted 39 day(s) ago - timing supports a follow-up now.",your retro football shirt and vintage sportswear range
L1137,reworkedvault89,unknown,unknown,@reworkedvault89,40525.0,689.0,0.37,unknown,reworkedvault89@gmail.com,unknown,unknown,unknown,unknown,unknown,unknown,,,2088,Instagram,2026-04-15,never,replied,Replied,Engaged,"IG shop, DMs open",L1137,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Instagram) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,3,Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given running your shop straight through Instagram DMs. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Replied (Re-Engagement). Personalisation drawn from notes: running your shop straight through Instagram DMs. Last contacted 92 day(s) ago - timing supports a follow-up now.,running your shop straight through Instagram DMs
L1061,The Costume Trunk,unknown,Flea market,@thecostumetrunk,12987.0,,,https://thecostumetrunk.co.uk,info@thecostumetrun.com,+447325953278,Sam Meyer,79 Kingsland Rd,London,"Soho, London",UK,51.50236,-0.12331,1196,BDR,2026-05-09,never,Churned,Churned,Churned,"Records, vinyl & memorabilia","L1198, L1061",2,Physical Store,High,False,False,Market Stall,True,Category 'Flea market' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Churned-Win-Back,,"Hi Sam, it's been a while since we last worked together, so wanted to reach out honestly rather than pretend nothing's changed. Given your market stall, I understand if the timing wasn't right before. Would it be worth a low-pressure conversation about what's changed on our side, in case it's relevant again?",Stage identified as Churned (Churned-Win-Back). Personalisation drawn from category (notes unavailable): your market stall setup. Last contacted 68 day(s) ago - timing supports a follow-up now.,your market stall setup
L1058,Thread Rail,store,Consignment store,@threadrail,15144.0,,,unknown,unknown,unknown,Sofia Baker,164 Church Rd,London,"Notting Hill, London",UK,51.51543,-0.2049,3845,Google Maps scrape,2026-05-03,2025-09-22,dormant,Dormant,Churned,Hand-picked vintage from the 60s to the 90s,L1058,1,Physical Store,High,False,False,Consignment Store,True,Category 'Consignment store' is a specific vintage/resale-clothing category - qualifies.,2,Missing Contact; Missing Website,True,Churned-Win-Back,,"Hi Sofia, it's been a while since we last worked together, so wanted to reach out honestly rather than pretend nothing's changed. Given the decades-spanning edit you've hand-picked, I understand if the timing wasn't right before. Would it be worth a low-pressure conversation about what's changed on our side, in case it's relevant again?",Stage identified as Dormant (Churned-Win-Back). Personalisation drawn from notes: your hand-picked edit spanning the 60s through the 90s. Last contacted 74 day(s) ago - timing supports a follow-up now.,your hand-picked edit spanning the 60s through the 90s
L1131,depopco11,unknown,unknown,@depopco11,30099.0,677.0,0.12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,2877,Instagram,2026-06-29,never,emailed,Contacted,Contacted,"Fast seller, good margins",L1131,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Instagram) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Cold,,"Hi there, I came across your shop and noticed how quickly your stock turns over. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?",Stage identified as Contacted (Cold). Personalisation drawn from notes: how quickly your stock turns over. Last contacted 17 day(s) ago - timing supports a follow-up now.,how quickly your stock turns over
L1015,Loop Wardrobe,unknown,Vintage clothing store,@loopwardrobe,28187.0,,,https://loopwardrobe.co.uk,info@loopwardrobe.com,+447656482366,unknown,174 Church Rd,London,"Brick Lane, London",UK,51.52377,-0.07628,7824,Google Maps scrape,2026-06-16,never,replied,Replied,Engaged,Hand-picked vintage from the 60s to the 90s,L1015,1,Physical Store,High,False,False,Vintage Store,True,Category 'Vintage clothing store' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your hand-picked edit spanning the 60s through the 90s. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Replied (Re-Engagement). Personalisation drawn from notes: your hand-picked edit spanning the 60s through the 90s. Last contacted 30 day(s) ago - timing supports a follow-up now.,your hand-picked edit spanning the 60s through the 90s
L1167,stockdrip47,unknown,unknown,@stockdrip47,64545.0,486.0,0.38,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,200,Depop scrape,2026-05-18,never,Replied,Replied,Engaged,"Fast seller, good margins",L1167,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given how quickly your stock turns over. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Replied (Re-Engagement). Personalisation drawn from notes: how quickly your stock turns over. Last contacted 59 day(s) ago - timing supports a follow-up now.,how quickly your stock turns over
L1187,deadthreads62,IG,unknown,@deadthreads62,45162.0,500.0,0.56,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,498,Depop scrape,never,never,New,New Lead,Prospect,unknown,L1187,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Depop scrape) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Cold,,"Hi there, I came across your shop and noticed selling through Depop. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?",Stage identified as New Lead (Cold). Personalisation drawn from channel (notes unavailable): selling through Depop. No prior contact on record - treated as first outreach.,selling through Depop
L1024,Ragged Trading Co,unknown,Retro clothing shop,@raggedtradingco,6466.0,,,https://raggedtradingco.co.uk,info@raggedtradingc.com,+447989413435,Leo Lopez,4 Cheshire St,London,"Brick Lane, London",UK,51.51204,-0.08241,3522,Instagram,2026-06-07,never,contacted,Contacted,Contacted,"Y2K, grunge and reworked one-off pieces | Busy on weekends — visit midweek.",L1024,1,Physical Store,High,False,False,Vintage Store,True,Category 'Retro clothing shop' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Re-Engagement,,"Hi Leo, it's been a little while, so wanted to check back in given your Y2K, grunge and reworked one-off pieces. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Happy to work around your weekend trade - midweek suits us fine. Worth a quick chat to see where things stand?","Stage identified as Contacted (Re-Engagement). Personalisation drawn from notes: your Y2K, grunge and reworked one-off pieces. Notes flagged a specific objection/context, addressed directly rather than ignored. Last contacted 39 day(s) ago - timing supports a follow-up now.","your Y2K, grunge and reworked one-off pieces"
L1148,retropicks38,unknown,unknown,@retropicks38,54781.0,1359.0,0.05,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,1308,Whatnot,never,never,new - inbound,Inbound,Prospect,Sells on Depop + Vinted,L1148,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Whatnot) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,2,Missing Contact; Missing Website; Unverified Location,True,Inbound,,"Hi there, thanks for getting in touch - I had a look at selling across both Depop and Vinted before writing back. Fleek connects shops like yours with inventory from trusted suppliers, so given your presence across both Depop and Vinted, it seemed worth a proper reply rather than a generic one. What's the main gap in sourcing right now - more volume, more variety, or something specific you're struggling to find?",Stage identified as Inbound (Inbound). Personalisation drawn from notes: selling across both Depop and Vinted. No prior contact on record - treated as first outreach.,selling across both Depop and Vinted
L1095,Moth Vault,unknown,Vintage boutique,@mothvault,19853.0,,,https://mothvault.com,info@mothvault.com,+447051627136,Tom Shah,27 The Parade,Leeds,Leeds,UK,53.79652,-1.55402,1265,Instagram,2026-06-03,never,negotiating,Negotiating,Opportunity,"80s/90s denim & sportswear specialist | Tried us in 2023, wasn't happy with the sizing mix.",L1095,1,Physical Store,High,False,False,Vintage Store,True,Category 'Vintage boutique' is a specific vintage/resale-clothing category - qualifies.,5,None,True,Re-Engagement,,"Hi Tom, it's been a little while, so wanted to check back in given your 80s/90s denim and sportswear edit. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. The sizing-mix issue from 2023 was a fair complaint, and the way we curate mixes has changed since - genuinely curious whether it's worth a second look. Worth a quick chat to see where things stand?","Stage identified as Negotiating (Re-Engagement). Personalisation drawn from notes: your 80s/90s denim and sportswear edit. Notes flagged a specific objection/context, addressed directly rather than ignored. Last contacted 43 day(s) ago - timing supports a follow-up now.",your 80s/90s denim and sportswear edit
L1078,Wilder & Sons,physical,Retro clothing shop,@wilderandsons,21430.0,,,unknown,info@wilderandsons.com,+447801006231,unknown,39 High St,Manchester,"Northern Quarter, Manchester",UK,53.47725,-2.23706,2335,Instagram,never,never,NEW,New Lead,Prospect,Retro football shirts & vintage sportswear |,L1078,1,Physical Store,High,False,False,Vintage Store,True,Category 'Retro clothing shop' is a specific vintage/resale-clothing category - qualifies.,4,Missing Website,True,Cold,,"Hi there, I came across your shop and noticed your retro football shirt and vintage sportswear range. I work with Fleek, a wholesale marketplace connecting retailers and resellers with inventory from trusted suppliers and brands. Would it be useful to see what's currently available that fits what you stock?",Stage identified as New Lead (Cold). Personalisation drawn from notes: your retro football shirt and vintage sportswear range. No prior contact on record - treated as first outreach.,your retro football shirt and vintage sportswear range
L1136,eraarchive59,unknown,unknown,@eraarchive59,1084.0,1116.0,0.52,unknown,eraarchive59@gmail.com,unknown,unknown,unknown,unknown,unknown,unknown,,,1122,Instagram,2026-06-25,never,responded,Replied,Engaged,"Fast seller, good margins",L1136,1,Online Retailer,High,False,True,Online Retailer,True,Online marketplace lead (source: Instagram) - Depop/Vinted/Whatnot/Instagram are fashion-resale platforms by definition.,3,Missing Website; Unverified Location,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given how quickly your stock turns over. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Replied (Re-Engagement). Personalisation drawn from notes: how quickly your stock turns over. Last contacted 21 day(s) ago - timing supports a follow-up now.,how quickly your stock turns over
L1129,Kestrel Goods,unknown,Vintage & retro fashion,@kestrelgoods,16394.0,,,unknown,unknown,unknown,unknown,12 Market St,Los Angeles,"Melrose, Los Angeles",USA,34.07808,-118.36546,4499,Instagram,2026-06-17,never,Contacted,Contacted,Contacted,Retro football shirts & vintage sportswear,L1129,1,Physical Store,High,True,False,Vintage Store,True,Category 'Vintage & retro fashion' is a specific vintage/resale-clothing category - qualifies.,2,Missing Contact; Missing Website; Non-UK,True,Re-Engagement,,"Hi there, it's been a little while, so wanted to check back in given your retro football shirt and vintage sportswear range. No pressure if the timing's shifted, but if sourcing is still on your radar, happy to pick things back up. Worth a quick chat to see where things stand?",Stage identified as Contacted (Re-Engagement). Personalisation drawn from notes: your retro football shirt and vintage sportswear range. Last contacted 29 day(s) ago - timing supports a follow-up now.,your retro football shirt and vintage sportswear range
